epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.48332,2.14101,6.04257,3.36887,0.01108,1,0.09045,0.0352,2.13161,7.77737,2.6034,0,0,0
2,6.2509,2.03292,6.61807,3.19393,0.00957,1,0.09045,0.02975,2.13555,7.51872,2.59228,1.50197e-05,1.50197e-05,1.50197e-05
3,8.87765,1.98707,5.72615,3.16159,0.00879,1,0.09045,0.03336,2.15427,7.35365,2.5677,2.67387e-05,2.67387e-05,2.67387e-05
4,11.3475,1.74599,4.39314,2.35937,0.01087,1,0.0995,0.02985,2.04694,7.4315,2.55295,3.5157e-05,3.5157e-05,3.5157e-05
5,13.6104,1.78197,4.31176,2.5079,0.01087,1,0.0995,0.02985,2.04694,7.4315,2.55295,4.02747e-05,4.02747e-05,4.02747e-05
6,16.1261,1.73901,3.91857,2.21921,0.01471,1,0.0995,0.04975,1.91593,7.23762,2.48957,4.20917e-05,4.20917e-05,4.20917e-05
7,18.4576,1.46118,3.48255,2.13876,0.01471,1,0.0995,0.04975,1.91593,7.23762,2.48957,4.06081e-05,4.06081e-05,4.06081e-05
8,20.9579,1.65006,3.82525,2.41069,0.01667,1,0.11056,0.05528,1.85063,6.74195,2.4424,3.58238e-05,3.58238e-05,3.58238e-05
9,23.2062,1.57303,4.86101,1.91493,0.01667,1,0.11056,0.05528,1.85063,6.74195,2.4424,2.77389e-05,2.77389e-05,2.77389e-05
10,25.7827,1.46514,3.38712,2.20605,0.01639,1,0.12437,0.06219,1.78467,6.49031,2.37355,1.63533e-05,1.63533e-05,1.63533e-05
