student_id,study_hours,attendance,homework_completed,extracurricular,previous_grade,current_grade,pass_fail
1,25,95,18,3,85,88,Pass
2,15,78,12,1,72,75,Pass
3,35,98,20,4,90,92,Pass
4,20,85,15,2,78,82,Pass
5,30,92,19,3,88,91,Pass
6,12,70,10,1,65,68,Fail
7,28,88,17,2,82,85,Pass
8,22,90,16,3,79,83,Pass
9,18,82,13,2,74,77,Pass
10,32,96,21,4,91,94,Pass
11,14,75,11,1,69,72,Fail
12,26,89,18,3,86,89,Pass
13,16,80,14,2,76,79,Pass
14,24,87,17,2,81,84,Pass
15,19,83,15,2,77,80,Pass
16,33,94,20,4,89,92,Pass
17,13,72,9,1,67,70,Fail
18,27,91,19,3,84,87,Pass
19,21,86,16,2,80,83,Pass
20,29,93,18,3,87,90,Pass
21,17,79,13,2,75,78,Pass
22,31,95,20,4,88,91,Pass
23,11,68,8,1,63,66,Fail
24,25,88,17,3,83,86,Pass
25,23,84,16,2,78,81,Pass
26,34,97,21,4,90,93,Pass
27,15,76,12,1,71,74,Pass
28,28,90,18,3,85,88,Pass
29,18,81,14,2,76,79,Pass
30,32,94,19,4,89,92,Pass
31,14,73,10,1,68,71,Fail
32,26,87,17,3,82,85,Pass
33,20,85,15,2,79,82,Pass
34,30,92,19,3,87,90,Pass
35,16,78,13,2,74,77,Pass
36,35,96,22,4,91,94,Pass
37,12,69,9,1,65,68,Fail
38,24,86,16,2,81,84,Pass
39,22,83,15,2,78,81,Pass
40,29,91,18,3,86,89,Pass
41,17,80,14,2,75,78,Pass
42,33,95,20,4,88,91,Pass
43,13,74,11,1,69,72,Fail
44,27,89,18,3,84,87,Pass
45,21,84,16,2,80,83,Pass
46,31,93,19,4,87,90,Pass
47,15,77,12,1,72,75,Pass
48,28,88,17,3,83,86,Pass
49,19,82,14,2,77,80,Pass
50,34,96,21,4,90,93,Pass
