Name,Address,Rating,Phone
"Lotus Lap Public Schools, Dilsuknagar","9-127, Near Shri Shirdi Sai Baba Sansthan Trust, Anamangal Kumari kunta, Lalitha Nagar, Dilsukhnagar, Hyderabad, Telangana 500060, India",4.8,+91 88850 90253
St Thomas High School,"16-11-511, D/4, St.Thomas School Rd, Shalivahana Nagar, Shalivahana Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500036, India",4.6,
Dilsukhnagar Public School - Best School Near Dilsukhnagar,"Door No. 4, 88, near Rajadhani Theatre Lane, Vikas Nagar, Krishna Nagar, Dilsukhnagar, Hyderabad, Telangana 500060, India",3.9,+91 87904 12678
Sanskriti Kids - Play School in Dilsukhnagar,"Plot No.1-7, 265/5, Hanuman Nagar, Balaji Residency, Chaitanyapuri, Dilsukhnagar, Hyderabad, Telangana 500060, India",4.9,+91 88807 68768
FIITJEE World School Dilsukhnagar,"Plot No. 16-11-740/5/A/B, Opposite Nikil Hospital, Behind Ideal College, Gaddianaram, Dilsukhnagar, Hyderabad, Telangana 500036, India",4.2,+91 40 6644 2841
S R Digi School,"Door No. 16-11-511/B/13, Hanumannagar, Shalivahana Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500060, India",4.4,+91 88867 84000
"Sanskriti The School, Dilsukhnagar","23-70/2, Saroornagar, Santosh Arcade, Pochhama Basti, Netaji Nagar, Hyderabad, Telangana 500035, India",4.3,+91 80999 90033
St Aloysius High School,"2-100, Sai Nagar Colony Main Road, Sri Sai Nagar Colony, Subhodaya Nagar, Dilsukhnagar, Hyderabad, Telangana 500060, India",4.4,+91 40 2404 7282
Brilliant Grammar High School,"16-11-477/A/14/4, Shalivahana Nagar, Shalivahana Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500036, India",3.8,+91 90000 13252
Dilsukhnagar Public School - Best School In RK Puram,"Alkapuri-RK Puram Road, polkampally, Ramakrishnapuram, L. B. Nagar, Hyderabad, Telangana 500035, India",4.1,+91 76749 18485
"EuroKids PreSchool in Dilsukhnagar, Hyderabad","No. 91, SBI Colony, near SBI Officers Park Moosarambagh, Dilsukhnagar, Hyderabad, Telangana 500036, India",4.9,+91 99667 33344
ShemRock Model Play School,"16-11-477/6/4/1, Hanumannagar, Indira Nagar, Dilsukhnagar, Hyderabad, Telangana 500036, India",4.7,+91 90527 14334
Bhashyam high school,"near bhashyam school, Bhavani Nagar, Durga Nagar, New Dilsukh Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500036, India",4.3,+91 96035 66615
PAATASHALA THE BRIGHT BEGINNINGS,"behind Rajadhani Theatre Lane, Vikas Nagar, Krishna Nagar, Dilsukhnagar, Hyderabad, Telangana 500060, India",5,+91 78424 44111
Chaitanya High School,"H-No, 1-7-9/1A, Satyanarayanapuram Colony, Chaitanyapuri, Dilsukhnagar, Hyderabad, Telangana 500060, India",4.2,+91 93926 20572
G.Pulla Reddy Memorial School,"Sai Baba Temple Lane, Behind G Pulla Reddy Sweets, Lalitha Nagar, Dilsukhnagar, Hyderabad, Telangana 500060, India",3.7,+91 40 6454 5151
GLOBAL KIDS SCHOOL,"16-11-511/D/232, 5, Shalivahana Nagar Rd, Dilsukhnagar, Telangana 500036, India",4.8,+91 96667 88288
"Sri Sai Grammar High School, Dilsukhanagar/ polling booth 524","Goutham Nagar Colony, Kanchi Residency, Madhura Puri Colony, Gaddiannaram, Hyderabad, Telangana 500060, India",4.3,+91 40 2406 7006
Stella Marys High School,"6, Phanigiri Colony Rd, Balaji Residency, Chaitanyapuri, Dilsukhnagar, Hyderabad, Telangana 500060, India",4.4,+91 94403 36444
"Akshara International School, L B Nagar","Inner Ring Rd, Sagar Enclave, Bairamalguda, Telangana 500079, India",4.7,+91 95330 06688
